key,app_date,app_type,app_status,lat,long
285,6/17/13,RES SINGLE FAMILY DWELLING,APPROVED,45.67614,-111.096504
286,4/7/14,PLUMBING ONLY,APPROVED,45.685341,-111.068935
287,4/4/14,ELECTRIC ONLY,APPROVED,45.653761,-111.041418
288,6/17/13,RES SINGLE FAMILY DWELLING,APPROVED,45.675961,-111.096054
289,6/17/13,RES SINGLE FAMILY DWELLING,APPROVED,45.67587,-111.096349
290,6/17/13,RES SINGLE FAMILY DWELLING,APPROVED,45.67587,-111.096349
291,3/17/14,RES ADDITION,APPROVED,45.637019,-111.042663
292,6/17/13,RES ALTERATION,APPROVED,45.65511,-111.045346
293,12/23/13,RES SINGLE FAMILY DWELLING,APPROVED,45.703417,-111.090924
294,6/17/13,RES ADDITION,APPROVED,45.654933,-111.037581
295,2/26/14,RES ALTERATION,APPROVED,45.654933,-111.037581
296,2/26/14,MECHANICAL ONLY,APPROVED,45.65439,-111.043715
297,6/17/13,RES SINGLE FAMILY DWELLING,APPROVED,45.646374,-111.056658
298,6/17/13,RES SINGLE FAMILY DWELLING,APPROVED,45.646284,-111.056645
299,4/2/14,MECHANICAL ONLY,APPROVED,45.682991,-111.084214
300,6/14/13,RES ALTERATION,APPROVED,45.684274,-111.042416
301,4/2/14,RES ALTERATION,APPROVED,45.682749,-111.022459
302,2/25/14,RES SINGLE FAMILY DWELLING,APPROVED,45.703417,-111.091156
303,6/14/13,RES ALTERATION,APPROVED,45.684274,-111.042416
304,6/14/13,RES ADDITION,APPROVED,45.671763,-111.040622
305,6/13/13,RES SINGLE FAMILY DWELLING,APPROVED,45.703813,-111.003674
306,6/13/13,RES SINGLE FAMILY DWELLING,APPROVED,45.70215,-111.10003
307,3/26/14,RES ALTERATION,APPROVED,45.686876,-111.061142
308,6/13/13,RES ATTACHED SFD,APPROVED,45.680458,-111.099824
309,4/2/14,SIGN PERMIT,APPROVED,45.68004,-111.049937
310,6/13/13,RES SINGLE FAMILY DWELLING,APPROVED,45.680458,-111.099824
311,9/9/03,RES GARAGES & CARPORTS,APPROVED,45.681367,-111.088783
312,9/9/03,RES ALTERATION,APPROVED,45.687517,-111.033968
313,4/11/14,PLUMBING ONLY,APPROVED,45.700447,-111.091369
314,12/23/13,RES SINGLE FAMILY DWELLING,APPROVED,45.647373,-111.035907
315,9/10/03,ELECTRIC ONLY,APPROVED,45.676626,-111.034077
316,9/10/03,RES ALTERATION,APPROVED,45.676626,-111.034077
317,6/13/13,MECHANICAL ONLY,APPROVED,45.679687,-111.032988
318,6/13/13,RES SINGLE FAMILY DWELLING,APPROVED,45.676771,-111.096197
